	item	desc	domain	meaning	example_1	example_2	example_3	example_4
2165	yotqiz-	v.t	Motion	lay down | lay out, spread out				
2169	YUR-	v.int	Motion	walk, stroll	Bola yuryapti.	The child is walking.		
2170	PIYODA	adv	Motion	on foot	Bu yerga piyoda keldim.	I came here on foot.		
2173	QADAM	n	Motion	step, pace	Mening qadamim unikiga qaraganda uzunroq.	My stride is longer than his.		
2180	BOS-	v.t	Motion	press, push down, push | tread on, run over	U yerda yotgan kitobimni ko'rmasdan bosib oldi.	He trod on my book which was on the ground, without seeing it.	Uni arava bosdi.	A cart ran over him.
2184	YUGUR-	v.int	Motion	run	U bola tez yuguryapti.	That child is running fast.		
2189	CHOP-	v.int	Motion	gallop, run	Chopib keling!	Come quickly!		
2191	SAKRA-	v.int	Motion	jump, leap				
2192	SAKRA-	NX+dan sakrab o't-	Motion	jump over X	Ariqdan sakrab o'tdim.	I jumped over the ditch.		
2203	SIRG'AN-	v.int	Motion	slip, slide down				
2207	SUZ-	v.int	Motion	swim | sail, navigate	Daryoning u tomoniga suzib o'tdim.	I swam across to the far side of the river.		
2212	UCH-	v.int	Motion	fly	U uchib keldi.	He came by air.		
2219	HAYDA-	v.t	Motion	drive (vehicle) | drive ahead, drive away, expel | plough	Dehqonlar paxta yerlarini haydayaptilar.	The peasants are ploughing the cotton fields.		
2223	KUZAT-	v.t	Motion	see off, accompany, send off	U onasini vokzalga kuzatib bordi.	He accompanied his mother to the railway station.		
2226	UZAT-	NX+ni NY+ga ~+ib yubor-	Motion	accompany, send off, see off	Men do'stimni uyiga uzatdim.	I accompanied my friend to his house.		
2230	ergashuvchi	NX+ning ket+idan bor-	Motion	follow X	Mehmonlar agronomning ketidan bordilar.	The visitors followed the agronomist.	Men sizning ketingizdan boraman.	I'll follow you.
2231	ergashuvchi	NX+ning orqa+sidan bor-	Motion	follow X				
2233	IZ	NX+ning ~+idan bor-	Motion	follow X				
2236	QUV-	v.t	Motion	follow, chase				
2239	quvla-	v.t	Motion	chase, pursue	Bo'rini quvladik.	We chased the wolf.	O'g'rini tutish uchun uning orqasidan quvladim.	I pursued the thief in order to catch him.
2244	QOCH-	v.int | N(ish)X+dan ~	Motion	flee X, run away from X	Ular qochdilar.	They fled.		
2247	OL-	v.t | NX+ni NY+dan ~	Motion	receive	Men hozirgina opamdan xat oldim.	I have just received a letter from my sister.		
2249	OL-	NX+ni olib bor-	Motion	take X, take X away, take X to	Bu kitobni olib boring!	Take this book away!		
2250	OL-	NX+ni NY+ga olib kel-	Motion	bring, bring back X to Y, fetch X for Y	U menga lug'at olib keldi.	He brought me a dictionary.	Bu kitobni sizga olib keldim.	I brought this book for you.
2253	OL-	NX+ni olib ket-	Motion	take X, take X away				
2255	keltir-	v.t | NX+ni NY+ga ~	Motion	bring Y X, fetch X for Y	Men g'isht teruvchiga g'ishtlarni keltirib turdim.	I have brought bricks to the bricklayer.	Molning bosh bog'ini keltiring.	Fetch the cow's halter.
2256	TASHI-	v.t | NX+ni NY+ga ~	Motion	carry, transport, bring X to Y | transfer, move across	Yuk tashiyapman.	I am transferring the luggage.		
2261	ko'chir-	v.t | NX+ni NY+ga ~	Motion	transfer, move, shift X to Y	Ular Sibiriyaga ko'chirildilar.	They were transferred to Siberia.		
2264	UZAT-	v.t | NX+ni NY+ga ~	Motion	pass, hand over, give X to Y	U narvonda turardi, xotini esa unga asbobni uzatardi.	He was standing on the ladder, and his wife was handing him the instrument.		
2265	o'tkaz-	v.t	Motion	pass, transmit				
2266	YUBOR-	v.t | NX+ni NY+ga ~	Motion	send X to Y	Biz o'z o'qituvchimizga tabrik telegrammasini yubordik.	We sent a telegram of congratulation to our teacher.	Ona o'g'lini gastronomga yubordi.	The mother sent her son to a grocery.
2267	jo'nat-	v.t	Motion	send, send off	Sen bu xatni bugunoq jo'natishing kerak.	You must send off this letter today.		
2268	KUCH	n	Forces and Effects	strength, power,force	Bu uyni olishga kuchim yetmaydi.	I am not in a position to buy this house.	Bu yukni ko'tarishga kuchim yetmaydi.	I haven't the strength to lift this case.
2270	kuchli	adj	Forces and Effects	strong, powerful				
2272	kuchsiz	adj	Forces and Effects	weak, powerless				
2274	kuchsizlan-	v.int | N(ish)X+dan ~	Forces and Effects	weaken, get weaker, feeble of X	Odamlar uzoq yugurishdan butunlay kuchsizlangan edilar.	The people were weakened because of a long running.		
2280	QUVVAT	n	Forces and Effects	power, strength	U xastaxonadan chiqqanidan beri quvvatga kirib qoldi.	Since leaving the hospital he has gained strength.		
2281	quvvatli	adj	Forces and Effects	powerful, strong				
2292	ZO'R	adj	Forces and Effects	forceful, strong, intense, weighty	Ahmad Hoshimdan zo'r chiqdi.	Ahmad proved to be stronger than Hashim.	Zo'r pahlavon.	A strong athlete.
2294	ZAIF	adj	Forces and Effects	weak, feeble (l/f)				
2303	QATTIQ	adj	Forces and Effects	solid, firm | hard (l/f) | strong, intense	Unga qarshi qattiq harakat qilish kerak.	Firm action must be taken against him.	Uning bilan qattiq aloqasi bor.	He is in close contact with him.
2306	shiddatli	adj	Forces and Effects	intense, fierce				
2313	suyan-	v.int | NX+ga ~	Forces and Effects	lean on/against X (l/f); rely on X	U daraxtga suyandi.	He leaned against a tree.		
2317	tayan-	v.int | NX+ga ~	Forces and Effects	lean on/against X | rely on X, rest on X	Bemor yurganida hassaga tayanishi kerak.	The sick man must lean by walking on a stick.	U hassasiga tuyanib turyapti.	He is standing leaning on his stick.
2320	TIRA-	NX+ni NY+ga tirab qo'y-	Forces and Effects	lean X on/against Y	Biz narvonni devorga tirab qo'ydik.	We leaned the ladder against the wall.		
2326	TUT-	v.t	Processes	hold, keep (l/f) | catch, seize, grab, grasp | touch, use, move | occupy (place, location) | hold to, carry through	Qattiq siyosat tutish kerak.	A firm policy must be carried through.		
2327	TUT-	tutib ol-	Processes	catch, take	Bizning mushugimiz sichqonni tutib oldi.	Our cat has caught a mouse.	Bola koptokni yaxshi tutib oladi.	The boy catches the ball well.
2330	USHLA-	v.t | NX+ni NY+dan ~	Processes	hold, seize, grasp, take X by Y	U meni qo'limdan ushladi.	She took me by the hand.	Qo'lidan ushlang!	Hold him by the hand!
2332	USHLA-	NX+ni (NY+dan) ~+b ol-	Processes	catch, grab, grip, seize X (by Y), hold on to X	U meni qo'limdan ushlab oldi.	She gripped my arm.	Ehtiyot bo'l! Meni ushlab ol.	Be careful! Hold on to me.
2338	OL-	v.t	Processes	take | obtain, get, acquire	Bu kitobni oling!	Take this book!		
2340	olin-	v.int | NX+dan ~	Processes	be taken, obtained, extracted from X	Shakar qand davlagidan olinadi.	Sugar is extracted from sugar-beet.		
2343	TER-	v.t	Processes	pick up, pick, collect	Dalada dehqonlar paxta terardilar.	The peasants were picking up cotton in the fields.	U non ushog'ini teryapti.	She is picking up the crumbs.
2347	UZ-	v.t	Processes	pick (and break the stem), tear off	Tramvayda mening paltomdagi tugmani uzib yuborishdi.	In the tram I have been teared off a button from my coat.	U olma uzyapti.	He is picking apples.
2348	KO'TAR-	v.t	Processes	lift, raise, pick up | bear, endure, stand	Maktabda bolalar, agar ular bir narsa demoqchi bo'lsalar, qo'llarini ko'taradilar.	In the school, the children raise their hands when they want to say something	Bu yukni ko'taring!	Pick up this luggage!
2352	yukla-	v.t | NX+ni NY+ga ~	Processes	load, ship X on to Y; overload Y with X	Paxtalarni avtomobilga yuklash kerak.	The cotton must be loaded on to the lorry.		
2356	ko'chir-	v.t | NX+ni NY+ga ~	Processes	transfer, move, shift X to Y	Ular Sibiriyaga ko'chirildilar.	They were transferred to Siberia.		
2357	TASHI-	v.t | NX+ni NY+ga ~	Processes	carry, transport, bring X to Y	Dehqonlar donni omborlarga tashimoqdalar.	The peasants are bringing the corn to the barns.	U suv tashiyapti.	He is carrying water.
2359	TASHLA-	v.t	Processes	throw, throw away | abandon, cast aside	Bola unga koptokni tashladi.	The boy threw the ball to her.	U qalamini tashladi.	He threw away his pen.
2362	OT-	v.t	Processes	throw, cast, fling	Bu toshni ot!	Throw this stone!		
2367	QO'Y-	v.t	Processes	put, set | put forward, give	Qopni yerga qo'ying.	Put the sack on the ground.		
2368	QO'Y-	NX+ni NY+ga ~	Processes	lay X on Y, put X into Y	U o'z qo'lini mening yelkamga qo'ydi.	He laid his hand on my shoulder.	Ayol pirogni duxovkaning ichiga qo'ydi.	The woman put the pie into the oven.
2369	QO'Y-	NX+ni NY+dan olib qo'y-	Processes	put down, set down, lay down, take down, take off X from Y	U suratni devordan olib qo'ydi.	He took down the picture from the wall.	Kirlarni arqondan olib qo'ying.	Take off the washing from the cloth-line.
2371	SOL-	v.t | NX+ni NY+ga ~	Processes	put, place, fix X into Y, lay X on Y	Oynachi derazaga oyna solmoqda.	The glass-cutter is fixing the glass into the window.	Olmalarni savatga soling!	Put the apples in the basket please!
2373	joylashtir-	v.t | NX+ni NY+ga ~	Processes	find a place for X in Y, put X in Y				
2379	QUY-	v.t | NX+ni NY+ga ~	Processes	pour X into Y, pour out | pour X for Y	U mehmonlarga choy quyib berdi.	She poured tea for the guests.	Hamshira bemorga dori quyyapti.	The nurse is pouring medicine to the patient.
2391	OS-	v.t | NX+ni NY+ga ~	Processes	hang (up) X on Y, suspend X on Y	Kecha biz derazaga yangi parda osdik.	Yesterday we hung the new curtains on the window.	To'ningizni bu yerga osing.	Hang your coat over here.
2399	BOT-	v.int | NX+ga ~	Processes	sink in X, go down	Avto loyga botib qoldi.	The car sank in the mud.		
2401	CHO'K-	v.int | NX+ga ~	Processes	sink in X	U suvga cho'kyapti.	He is sinking in the water.		
2406	chiqar-	v.t | NX+ni NY+dan ~	Processes	take out, pull out, put out X from Y	Narsalarni jomadondan chiqarmang.	Don't pull out the things from the trunk.		
2410	TORT-	v.t	Processes	pull, drag | attract, draw (l/f)	U ipni tortyapti.	She is pulling the thread.		
2419	ITAR-	v.t	Processes	push | push away, repel	Avtomobilni itaring!	Push the car!	Uni itarib yubordim.	I gave him a push.
2423	TEG-	v.int | NX+ga ~	Processes	touch X, come into contact with X | hit X, hit (and wound X)	Unga o'q tegdi.	He was hit by an arrow.		
2428	UR-	v.t	Processes	beat, strike | hit, knock	Ahmad Toshmatni urdi.	Ahmad beat Tashmat.	Bizning askarlar dushman askarlarini urdilar.	Our soldiers have struck at the enemy.
2442	QOQ-	v.t	Processes	knock (door), beat (drum), pat | hammer, drive in | shake off, shake out, flap	U o'rik qoqyapti.	He is shaking down the apricots.	U qush qanot qoqyapti.	That bird is flapping its wing.
2452	BOS-	v.t	Processes	press, push down, push | print | pile up, stack | tread on, run over | cover, spread over | oppress, overcome | calm down, quiet down	Badanini sovuq ter bosdi.	Cold water spread over his body.	Yo'llarni qor bosdi.	Snow covered the roads.
2463	SIQ-	v.t	Processes	squeeze, grip tightly, wring out	U oramizdan siqib chiqarildi.	He was forced out of our midst.		
2470	bura-	v.t	Processes	twist, screw | wind up	U soatini buradi.	He wound up his watch.		
2478	EG-	v.t	Processes	bend, bow	Mexanik simni bir oz egdi.	The mechanician has slightly bent the wire.	Past eshikdan chiqish uchun, boshini egdi.	He bent his head to go through the low door.
2487	bukla-	v.t	Processes	fold				
2490	UZAT-	NX+ni NY+ga ~+ib yubor-	Processes	pass X to Y, hand X to Y	Iltimos, menga tuzni uzatib yuboring!	Please hand me the salt.	O'sha qalamni menga uzatib yuboring!	Pass me that pencil please!
2492	CHO'Z-	v.t	Processes	stretch out, draw out | stretch, prolong	U qo'lini cho'zdi.	He stretched out his hand.		
2503	SHISH-	v.int	Processes	swell				
2510	YOY-	v.t	Processes	spread out, spread (l/f) | hang out (laundry)	U kir yoyyapti.	She is hanging out the washing.		
2517	SURT-	v.t | NX+ni NY+ga ~	Processes	spread, smear X on Y; wipe, polish Y with X, rub X in Y	Nonga moy surtib.	Spread butter on bread.	Aravaning g'ildiragiga moy surtdim.	I have wiped the wheels of the cart with oil.
2521	ISHQALA-	v.t	Processes	rub				
2532	teshik	n	Processes	hole, opening	Qopning teshigi.	Hole in a sack.		
2541	QAZI-	v.t	Processes	dig, excavate	Kim birovga chuqur qazisa, bu chuqurga o'zi yiqiladi.	Who digs a hole for others is going to fall into it.	U yer qaziyapti.	He is digging.
2543	KO'M-	v.t	Processes	bury, plant | bury (corpse) | cover				
2545	SIN-	v.int	Processes	break, be fractured	Mening qalamim sinib qoldi.	My pencil has broken.		
2546	sindir-	v.t	Processes	break, fracture, shatter	Qizcha hozirgina piyolani sindirdi.	The girl has just broken a cup.	Bolalar oynani koptok bilan sindirdilar.	The boys broke the window with a ball.
2550	BUZ-	v.t	Processes	break, destroy, demolish, ruin | spoil, corrupt | upset	Bu eski uyni buzaman.	I will demolish the old house.		
2552	buzil-	v.int	Processes	be broken, destroyed, ruined, out of order | be spoilt, corrupted				
2553	buzuq	adj	Processes	broken, spoilt, out of order | unprincipled, dissolute, licentious				
2561	ajral-	v.int	Processes	divide, split, break up	Palyon ikkiga ajralib ketdi.	The log split in two.		
2568	KES-	v.t	Processes	cut, chop, cut down | cut off, cut out	Daraxtning shohini kesing!	Cut the branches off the tree!		
2573	QIY-	v.t	Processes	cut out, cut (into)	Kichkinagina qizcha otkritkani qaychi bilan qiydi.	The small girl has cut the postcard with scissors.	Paqir qo'limni qiydi.	The bucket has cut into my hand.
2579	QIR-	v.t	Processes	grate, scrape | shave	U soqolini qiryapti.	He is shaving.		
2585	UZ-	v.t	Processes	cut off, break off, snap off (l/f) | pick (and break the stem), tear off	U o'zining yomon do'stlari bilan o'z munosabatlarini uzdi.	He has broken his relations with his bad friends.	U gapni uzdi.	He closed the conversation.
2588	YOR-	v.t	Processes	split, cut open	Men o'tni yormoqchiman.	I want to split the logs.		
2592	YIRT-	v.t	Processes	tear, tear up, tear off, rip	U alamidan xatni mayda-mayda qilib yirtdi.	Out of malice he teared the letter to small pieces.	U qog'ozni yirtdi.	He tore up the paper.
2601	PORTLA-	v.int	Processes	explode	Bombalar portladilar.	The bombs exploded.		
2608	OCH-	v.t	Processes	open | uncover, discover, disclose, unveil	Eshikni ochdi.	He opened the door.		
2611	ochil-	v.int	Processes	open, open out, be open				
2612	ochiq	adj	Processes	open	Eshik ochiq.	The door is open.		
2614	YOP-	v.t	Processes	close, shut | cover up, hide	Eshikni yoping!	Shut the door!	Og'ingni yop!	Shut up!
2618	yopiq	adj	Processes	closed, shut				
2636	qopla-	v.t | NX+ni NY bilan ~	Processes	cover, overlay X with Y	Ishchilar polning ustini linoleum bilan qopladilar.	The workers overlayed the floor with linoleum.		
2640	O'RA-	v.t	Processes	wrap up, roll up | spin, weave	O'rgimchak uyasi o'rayapti.	The spider is spinning his web.		
2646	bog'la-	v.t	Processes	tie, bind; fasten	Menga galstukni bog'lab bering.	Tie me the neck-tie.	Otni bog'lab qo'y!	Tether the horse!
2660	yopish-	v.int | NX+ga ~	Processes	stick to X, adhere to X	Nam qum botinkalarga yopishib qoladi.	The wet sand adheres to the shoes.	G'ildiraklarga loy yopishib qoldi.	Mud stuck to the wheels.
2661	yopishtir-	v.t | NX+ni NY+ga ~	Processes	stick X to Y, on Y	Men konvertga marka yopishtirdim.	I stuck a stamp on an envelope.	Devorga qog'oz yopishtirilmasin!	Stick no posters!
2669	BO'L-	v.t	Processes	separate				
2673	AYIR-	v.t | NX+ni NY+dan ~	Processes	remove, take away X from Y, separate X from Y	Men molimni ayiraman.	I will remove my belongings.	O'glingizni bizdan ayirmang.	Do not take your son away from us.
2678	TARQA-/ TARQAL-	v.int	Processes	disperse, scatter	Majlisdan keyin uyimizga tarqalib ketdik.	After the meeting we dispersed to our homes.		
2679	tarqat-	v.t	Processes	disperse, scatter, spread, spread out	Radio va televideniye bu xabarni bugun tarqatdi.	Radio and television have spread this news today.		
2691	TO'L-	v.int | NX+ga ~	Properties	be filled with X	Uy odamga to'ldi.	The room filled with people.		
2692	to'la	adj | NX bilan ~	Properties	full of X	Bu zal odamlar bilan to'p-to'la.	This hall is completely filled with people.	To'la huquqqa ega bo'lish uchun ishlamoqdamiz.	We are working to have full rights.
2697	to'ldir-	v.t | NX+ni NY bilan ~	Properties	fill X with Y, complete X in Y	Ayol chelakni suv bilan to'ldirdi.	The woman filled the bucket with water.	Quyidagi gaplarni o'z so'zingiz bilan to'ldiring.	Complete the following sentences in your own words.
2704	BO'SH	adj	Properties	empty, void | free (time, people), vacant (space)	Bu sandiq bo'shmi?	Is this chest empty?		
2707	bo'shat-	v.t	Properties	empty, clear				
2712	OG'IR	adj	Properties	heavy, weighty | difficult, hard | serious, grave				
2716	YENGIL	adj	Properties	light (l/f)	Bu kitob og'ir, unisi esa yengil.	This book is heavy but that one is light.		
2722	TORT-	v.t | NX+ni (tarozida) ~	Properties	weigh X	Bu unni tarozida tortish kerak.	This flour must be weighed on the scales.		
2723	GRAMM	meas	Properties	gramme				
2725	KILOGRAMM/ KILO	meas	Properties	kilogram	Uzumingizning kilosi necha pul?	How much is a kilo of your grapes?		
2733	SUYUQ	adj	Properties	liquid, thin, watery	Bu sho'rva juda ham suyuq bo'lgan.	This soup was too thin.		
2735	QUYUQ	adj	Properties	thick (liquid)	Quyuq sho'rva ichdik.	We drank thick soup.		
2738	ERI-	v.int	Properties	melt, thaw | dissolve	Suvda erimaydigan bo'yoq.	Paint that will not dissolve in water.		
2741	QAYNA-	v.int	Properties	boil (l/f)	Suv qaynadi.	The water is boiling.		
2742	qaynat-	v.t	Properties	boil				
2746	tomchi	n, meas	Properties	drop				
2755	QATTIQ	adj	Properties	solid, firm | hard (l/f)	Tosh qattiqdir.	Stones are hard.		
2760	yumshoq	adj	Properties	soft, mild | mellow, fresh (bread)	Yumshoq non yedim.	I ate fresh bread.		
2765	O'TKIR	adj	Properties	sharp, cutting | keen, clever, smart, alert	Pichog'im o'tkir.	My knife is sharp.		
2773	MUSTAHKAM	adj	Properties	strong, firm, solid, consolidated	U mustahkam tabiatga ega.	He has a strong character.		
2781	NOZIK	adj	Properties	fine, delicate, fragile | refined, sensitive | delicate, touchy, tricky	Bu piyola nozik.	This cup is fragile.		
2791	TEKIS	ad	Properties	smooth(ly); level	Bu qog'oz tekis.	This paper is smooth.	Bu yer tekis.	This place is level.
2799	SOF	adj	Properties	clean | pure	U sof havoda yuryapti.	He is walking in the fresh air.		
2805	TOZA	adj	Properties	clean, clear | pure				
2810	QURI-	v.int	Properties	dry, dry off, dry out | wither	O'rik daraxtlari qurib qoldilar.	The apricot trees have withered and died.		
2812	quruq	adj	Properties	dry, dried, arid | empty, devoid of content	Quruq non yedik.	We ate stale bread.	Quruq yerlarni sug'orish harakatidamiz.	We are trying to irrigate the arid land.
2817	HO'L	adj | NX+dan ~	Properties	wet, moist, soaked with X | fresh (fruits, vegetables)	Ko'cha yomg'irdan ho'l bo'ldi.	The street is wet with rain.	To'yim ho'l bo'ldi.	My coat got wet.
2820	NAM	adj	Properties	damp, moist, humid, wet	Bu yer nam.	This place is damp.		
2828	SUG'OR-	v.t	Properties	water, irrigate | give water to	U molni sug'oryapti.	He is giving water to the cattle.		
2836	HARORAT	n	Properties	temperature	Bugun havoning harorati ko'tarildi.	Today the temperature has risen.	Uning harorati 39 daraja.	His temperature is 39°C.
2837	DARAJA	meas	Properties	degree (temperature)				
2838	DARAJA	numX daraja issiq	Properties	X degrees (of temperature)				
2839	DARAJA	numX daraja iliq	Properties	X degrees (of temperature)				
2840	DARAJA	numX daraja sovuq	Properties	X degrees below 0				
2843	GRADUS	numX gradus issiq	Properties	X degrees (of temperature)				
2844	GRADUS	numX gradus iliq	Properties	X degrees (of temperature)				
2845	GRADUS	numX gradus sovuq	Properties	X degrees below 0				
2850	isit-	v.t | NX+ni (NY+ga) ~	Properties	warm X (up to Y), heat X (up)	Siz suvni 60 gradusgacha isitishingiz kerak.	You must warm the water up to  60 degrees.		
2851	ISSIQ	adj	Properties	hot	Mamlakatimiz issiqdir.	Ours is a hot country.		
2853	issiqlik	n	Properties	heat				
2861	iliq	ad	Properties	warm (l/f), tepid	Bugun havo iliq.	It is warm today.		
2864	SALQIN	adj, n	Properties	cool, refreshing; cool(ness)	Mevalarni salqin yerga qo'yish kerak.	Fruit must be put in a cool place.	U salqin yerda o'tiribdi.	He is sitting in the shade.
2870	sovut-	v.t	Properties	cool (down)				
2871	sovuq	adj	Properties	cold, frosty	Bu uy sovuq.	This house is cold.	Sovuq kunlar.	Frosty days.
2875	muzla-	v.int	Properties	freeze, be frozen				
2881	yorit-	v.t	Properties	light (up), illuminate, brighten	Bu lampa katta xonani yetarli yoritmaydi.	That lamp lights up the big room insufficiently.		
2882	yorit-	NX+ga / NX+ni NY bilan ~	Properties	light X with Y	Menga fonarcha bilan yoritib tur!	Light me with the electric torch.	Yigitcha qizning yo'lini fonar bilan yoritdi.	The youth lighted the girl the way with the pocket flach.
2886	YORUG'	n	Properties	light, shine	Elektr yorug'i.	Electric light.	Quyosh yorug'i.	Sunlight.
2887	YORUG'	adj	Properties	light, bright	Uyning ichi yorug'.	It is light in the room.		
2890	QORONG'I	adj, n	Properties	dark, obscure; darkness, obscurity				
2892	qorong'ilik	n	Properties	darkness, obscurity				
2900	RANG	n	Properties	colour | paint, dye | complexion, facial appearance	U kitobning muqovasi qaysi rangda?	What colour is the cover of that book?		
2904	rangli	adj	Properties	coloured				
2913	OQ	adj	Properties	white				
2920	QORA	adj	Properties	black, dark				
2926	qoramtil	kul rang	Properties	grey, ash-grey, steel gray				
2930	QIZIL	adj	Properties	red				
2936	PUSHTI	adj	Properties	pink, rose				
2939	SARIQ	adj	Properties	yellow				
2945	YASHIL	adj	Properties	green	Bog'imiz yashil ko'rinishga ega.	Our garden looks green.		
2947	KO'K	adj	Properties	(sky) blue, (grass) green	Bu o't ko'kdir.	This grass is green.	Havo ko'kdir.	The sky is blue.
2957	ZANGORI	binafsha rang	Properties	purple				
2958	ZANGORI	jigar rang	Properties	brown, liver-coloured				
2962	MODDA	n	Substances	matter, substance | element (physical)	Kislorod bir moddadir.	Oxygen is an element.		
2974	METALL	n	Substances	metal				
2975	TEMIR	n	Substances	iron				
2976	PO'LAT	n	Substances	steel				
2977	OLTIN	n	Substances	gold; golden				
2983	KUMUSH	n	Substances	silver				
2984	MIS	n	Substances	copper				
2988	TUZ	n	Substances	salt				
2996	YOQUT	n	Substances	ruby, precious stone				
2998	OLMOS	n	Substances	diamond				
3003	TOSH	n	Substances	stone, rock				
3009	TUPROQ	n	Substances	earth, soil | land, territory	Tuproq yaxshi ishlanmasa, yerdan yaxshi hosil olish ham mumkin emas.	If the earth is not well worked, it is impossible to get a good harvest from the place.		
3010	QUM	n	Substances	sand				
3013	LOY	n	Substances	mud | clay (used for building)	Devor urish uchun loy kerak.	Clay is needed to build the wall.		
3018	CHANG	n	Substances	dust	Ko'chada chang ko'p.	There is a lot of dust in the street.		
3030	SHISHA	n	Substances	glass | bottle				
3036	YELIM	n	Substances	glue, gum				
3038	SOVUN	n	Substances	soap				
3039	SUV	n	Substances	water				
3046	MUZ	n	Substances	ice				
3052	BUG'	n	Substances	steam				
3054	HAVO	n	Substances	air, atmosphere | sky | weather	Havoning bosishi kuchli.	The atmosphere pressure is high.		
3057	O'T	n	Substances	fire				
3068	TUTUN	n	Substances	smoke				
3070	YOQ-	v.t	Substances	light (fire, match), switch on, turn on (lamp, electricity)	Qizcha shamni yoqdi.	The girl lighted a candle.	U o't yoqyapti.	He is lighting a fire.
3075	YON-	v.int	Substances	burn (fire) | give a light (lamp)	O't yonyapti.	The fire is burning.		
3078	yondir-	v.t	Substances	light (fire), set fire, burn				
3081	KUY-	v.int	Substances	burn, get burnt (by fire or heat)	Qo'lim kuyib qoldi.	My hand got burnt.		
3082	kuydir-	v.t	Substances	burn | anger, annoy, cause trouble	U qog'ozlarni kuydirdi.	He burnt the papers.		
3086	O'CH-	v.int	Substances	die out, go out (fire, lamp) | fade, grow pale, grow dim | disappear, vanish	O't o'chdi.	The fire went out.		
3087	o'chir-	v.t	Substances	put out, extinguish (fire, lamp) | cause to vanish, erase				
3092	KUL	n	Substances	ash(es)	Uning so'zini eshitib kuldim.	I laughed at what he said.		
3093	GAZ	n	Substances	gas (combustible)				
3095	NEFT	n	Substances	oil, petroleum				
3097	BENZIN	n	Substances	petrol, gasoline				
3099	KO'MIR	n	Substances	coal				
3100	O'TIN	n	Substances	firewood				
3101	YOG'OCH	n	Substances	wood, timber; wooden				
3102	QOG'OZ	n	Substances	paper				
3105	SIYOH	n	Substances	ink				
3106	MOY	n	Substances	non-edible oil, grease | edible oil, fat, grease	Yer moyi sanoat uchun zarur.	Oil is essential for industry.		
3109	YOG'	n	Substances	fat, oil, grease	Nonga yog' surkadim.	I spread butter on the bread.		
3112	ELEKTR	n, adj	Substances	electricity; electric				
3120	YORUG'	n	Substances	light, shine	Elektr yorug'i.	Electric light.	Quyosh yorug'i.	Sunlight.
3121	YORUG'	adj	Substances	light, bright	Uyning ichi yorug'.	It is light in the room.		
3125	NUR	n	Substances	(light) ray	Quyoshning nuri kuchli.	The sun's ray are strong.		
3139	OFTOB	n	Substances	sunshine, (place in the) sun	Oftobga chiqmang!	Don't go out in the sun!	Oftobning ta'siri yo'q.	The sun has no strength.
3142	yaltira-	v.int	Substances	shine, glitter, sparkle				
3153	QORONG'I	adj, n	Substances	dark, obscure; darkness, obscurity				
3156	SOYA	n	Substances	shade, shadow	Daraxtning soyasida o'tirdim.	I sat in the shade of a tree.	U o'z soyasidan qo'rqdi.	He is afraid of his own shadow.
3159	TOVUSH	n	Substances	sound, voice	Ba'zi bir so'zlar unli tovushdan iboratdir.	Some words consist of vowels.		
3164	OVOZ	n	Substances	voice | sound, volume	Ko'chadan surnay ovozi kelyapti.	The sound of a surnay is coming from the street.		
3173	jarangla-	v.int	Substances	ring, jingle	Qo'ng'iroq jaranglaydi.	Bells are ringing.		
3179	SHOVQIN	n	Substances	noise, clamour, shout				
3186	TABIAT	n	Nature	nature, Nature | nature, character	Bu tog'lar tabiatning bir ko'rinishidir.	These mountains are one of nature's phenomena.		
3187	TABIIY	adj	Nature	natural	Bizning mamlakatda tabiiy boyliklar ko'p.	There is much natural wealth in our country.		
3190	JAHON	n	Nature	the universe, the world	Jahonda bir qancha mamlakatlar bor.	There are several different countries in the world.		
3193	DUNYO	n	Nature	world, realm	Dunyoda ko'p xalqlar yashaydilar.	There are many nations living in this world.		
3197	YULDUZ	n	Nature	star				
3199	QUYOSH	n	Nature	sun	Quyosh issiqlik beradi.	The sun gives warmth.		
3204	KUN	n	Nature	day | sun				
3207	OFTOB	n	Nature	sunshine, (place in the) sun	Oftobga chiqmang!	Don't go out in the sun!	Oftobning ta'siri yo'q.	The sun has no strength.
3211	OY	n	Nature	moon | month				
3216	OSMON	n	Nature	sky, heaven				
3220	YER	n	Nature	the Earth | land | place (l/f)	Ekin yerlari.	Land under cultivation.		
3226	TUPROQ	n	Nature	earth, soil | land, territory	Tuproq yaxshi ishlanmasa, yerdan yaxshi hosil olish ham mumkin emas.	If the earth is not well worked, it is impossible to get a good harvest from the place.		
3229	TOG'	n	Nature	mountain, (large) hill				
3235	TEPA	n	Nature	hill				
3240	CHO'QQI	n	Nature	peak, top, summit	Bu odam tog'ning cho'qqisiga chiqdi.	The man climbed up to the top of the mountain.		
3243	VODIY	n	Nature	valley				
3245	CHO'L	n	Nature	desert, waste land, steppe				
3253	YAYLOV	n	Nature	summer pasture | meadow				
3254	O'RMON	n	Nature	forest, wood				
3262	DENGIZ	n	Nature	sea, ocean				
3265	TO'LQIN	n	Nature	wave(s)				
3270	DARYO	n	Nature	river				
3275	KO'L	n	Nature	lake, pond				
3281	OROL	n	Nature	island				
3283	QIRG'OQ	n	Nature	bank, shore				
3289	BULOQ	n	Nature	spring, source				
3294	IQLIM	n	Nature	climate				
3296	HAVO	n	Nature	air, atmosphere | sky | weather	Havo ochiq.	The weather is fine.		
